learning_rate,threshold_euclid,numOfEpochs,batch_size,numOfThreads,TestAccuracy,TestRecall,TestPrecision,TestF1,ValidAccuracy,ValidRecall,ValidPrecision,ValidF1,Time-CPU,Time-Real,
0.01000,0.100,50,  512,15, 84.66, 31.20, 19.28, 23.83, 84.49, 31.06, 18.96, 23.55,0.46, 0.50,
0.01000,0.100,50,  512,20, 71.31, 66.99, 16.46, 26.43, 71.62, 67.27, 16.67, 26.72,0.50, 0.55,
0.01000,0.100,50, 1024,10, 35.38, 98.89, 10.55, 19.06, 35.02, 98.47, 10.46, 18.91,1.30, 2.37,
0.01000,0.100,50, 1024,15, 92.31,  0.00,  0.00,  0.00, 92.31,  0.00,  0.00,  0.00,0.13, 0.29,
0.01000,0.100,50, 1024,20, 92.31,  0.00,  0.00,  0.00, 92.31,  0.00,  0.00,  0.00,0.30, 0.65,
0.01000,0.100,50, 2056,10, 92.31,  0.00,  0.00,  0.00, 92.31,  0.00,  0.00,  0.00,0.76, 1.64,
0.01000,0.100,50, 2056,15, 92.31,  0.00,  0.00,  0.00, 92.31,  0.00,  0.00,  0.00,0.19, 0.44,
0.01000,0.100,50, 2056,20, 92.31,  0.00,  0.00,  0.00, 92.31,  0.00,  0.00,  0.00,0.19, 0.41,
0.01000,0.001, 5,  512,10, 66.65, 63.51, 13.79, 22.66, 66.91, 63.93, 13.96, 22.92,0.16, 0.35,
0.01000,0.001, 5,  512,15, 92.31,  0.00,  0.00,  0.00, 92.31,  0.00,  0.00,  0.00,0.15, 0.34,
0.01000,0.001, 5,  512,20, 92.31,  0.00,  0.00,  0.00, 92.31,  0.00,  0.00,  0.00,0.17, 0.22,
0.01000,0.001, 5, 1024,10, 92.31,  0.00,  0.00,  0.00, 92.31,  0.00,  0.00,  0.00,0.15, 0.18,
0.01000,0.001, 5, 1024,15,  8.25,100.00,  7.74, 14.36,  8.41, 99.86,  7.74, 14.37,0.16, 0.18,
0.01000,0.001, 5, 1024,20,  9.20, 99.86,  7.80, 14.47,  9.34, 99.58,  7.79, 14.46,0.15, 0.17,
0.01000,0.001, 5, 2056,10, 13.58, 99.86,  8.16, 15.09, 14.13, 99.58,  8.19, 15.14,0.16, 0.17,
0.01000,0.001, 5, 2056,15, 92.31,  0.00,  0.00,  0.00, 92.31,  0.00,  0.00,  0.00,0.16, 0.19,
0.01000,0.001, 5, 2056,20, 92.31,  0.00,  0.00,  0.00, 92.31,  0.00,  0.00,  0.00,0.17, 0.19,
0.01000,0.001,10,  512,10, 14.07, 99.72,  8.20, 15.15, 14.46, 99.30,  8.20, 15.16,0.30, 0.31,
0.01000,0.001,10,  512,15, 92.31,  0.00,  0.00,  0.00, 92.31,  0.00,  0.00,  0.00,0.31, 0.34,
0.01000,0.001,10,  512,20, 92.31,  0.00,  0.00,  0.00, 92.31,  0.00,  0.00,  0.00,0.31, 0.35,
0.01000,0.001,10, 1024,10, 12.87, 99.72,  8.09, 14.97, 12.99, 99.58,  8.09, 14.97,0.30, 0.30,
0.01000,0.001,10, 1024,15, 92.31,  0.00,  0.00,  0.00, 92.31,  0.00,  0.00,  0.00,0.29, 0.34,
0.01000,0.001,10, 1024,20, 92.31,  0.00,  0.00,  0.00, 92.31,  0.00,  0.00,  0.00,0.29, 0.31,
0.01000,0.001,10, 2056,10, 92.31,  0.00,  0.00,  0.00, 92.31,  0.00,  0.00,  0.00,0.30, 0.33,
0.01000,0.001,10, 2056,15, 92.31,  0.00,  0.00,  0.00, 92.31,  0.00,  0.00,  0.00,0.30, 0.32,
0.01000,0.001,10, 2056,20, 92.31,  0.00,  0.00,  0.00, 92.31,  0.00,  0.00,  0.00,0.30, 0.33,
0.01000,0.001,20,  512,10, 92.30,  0.56, 44.44,  1.10, 92.32,  0.14,100.00,  0.28,0.59, 0.65,
0.01000,0.001,20,  512,15, 59.23, 81.62, 13.76, 23.55, 60.40, 84.54, 14.48, 24.73,0.58, 0.62,
0.01000,0.001,20,  512,20, 92.31,  0.00,  0.00,  0.00, 92.31,  0.00,  0.00,  0.00,0.57, 0.62,
