learning_rate,threshold_euclid,numOfEpochs,batch_size,numOfThreads,TestAccuracy,TestRecall,TestPrecision,TestF1,ValidAccuracy,ValidRecall,ValidPrecision,ValidF1,Time-CPU,Time-Real,
0.10000,0.000,50, 2056,10, 84.97, 32.55, 38.14, 35.12, 85.03, 32.66, 38.38, 35.29,9.87, 10.51,
0.10000,0.000,50, 2056,15, 80.37, 40.23, 29.26, 33.88, 80.38, 40.16, 29.26, 33.85,9.82, 10.45,
0.10000,0.000,50, 2056,20, 65.18, 46.41, 17.10, 24.99, 65.08, 46.09, 16.98, 24.81,9.87, 10.50,
0.01000,0.100, 5,  512,10, 87.70,  8.73, 55.14, 15.07, 87.75,  9.12, 56.16, 15.70,1.09, 1.16,
0.01000,0.100, 5,  512,15, 87.50,  0.00,  0.00,  0.00, 87.50,  0.00,  0.00,  0.00,1.07, 1.15,
0.01000,0.100, 5,  512,20, 87.56,  0.47,100.00,  0.93, 87.56,  0.49,100.00,  0.98,1.08, 1.17,
0.01000,0.100, 5, 1024,10, 87.50,  0.00,  0.00,  0.00, 87.50,  0.00,  0.00,  0.00,1.10, 1.18,
0.01000,0.100, 5, 1024,15, 12.50,100.00, 12.50, 22.22, 12.50,100.00, 12.50, 22.22,1.11, 1.20,
0.01000,0.100, 5, 1024,20, 87.50,  0.00,  0.00,  0.00, 87.50,  0.00,  0.00,  0.00,1.11, 1.20,
0.01000,0.100, 5, 2056,10, 87.62,  2.08, 65.44,  4.04, 87.62,  2.00, 65.52,  3.88,1.07, 1.15,
0.01000,0.100, 5, 2056,15, 13.05,100.00, 12.57, 22.33, 13.06,100.00, 12.57, 22.33,1.08, 1.15,
0.01000,0.100, 5, 2056,20, 87.49,  0.14, 41.38,  0.28, 87.50,  0.12, 58.82,  0.23,1.07, 1.16,
0.01000,0.100,10,  512,10, 87.50,  0.00,  0.00,  0.00, 87.50,  0.00,  0.00,  0.00,2.06, 2.22,
0.01000,0.100,10,  512,15, 12.50,100.00, 12.50, 22.22, 12.50,100.00, 12.50, 22.22,2.08, 2.21,
0.01000,0.100,10,  512,20, 87.50,  0.00,  0.00,  0.00, 87.50,  0.00,  0.00,  0.00,2.07, 2.21,
0.01000,0.100,10, 1024,10, 25.04, 95.73, 13.85, 24.20, 25.03, 95.48, 13.82, 24.15,2.11, 2.26,
0.01000,0.100,10, 1024,15, 87.50,  0.00,  0.00,  0.00, 87.50,  0.00,  0.00,  0.00,1.71, 1.85,
0.01000,0.100,10, 1024,20, 88.08,  7.41, 72.76, 13.44, 88.09,  7.45, 73.13, 13.52,2.14, 2.31,
0.01000,0.100,10, 2056,10, 64.33, 49.54, 17.42, 25.78, 64.25, 49.40, 17.35, 25.68,2.10, 2.22,
0.01000,0.100,10, 2056,15, 87.50,  0.00,  0.00,  0.00, 87.50,  0.00,  0.00,  0.00,2.08, 2.23,
0.01000,0.100,10, 2056,20, 69.47, 38.50, 17.40, 23.97, 69.51, 39.03, 17.59, 24.25,2.06, 2.21,
0.01000,0.100,20,  512,10, 87.50,  0.01,100.00,  0.02, 87.50,  0.02,100.00,  0.05,4.04, 4.32,
0.01000,0.100,20,  512,15, 12.58,100.00, 12.51, 22.24, 12.56,100.00, 12.51, 22.24,4.08, 4.34,
0.01000,0.100,20,  512,20, 87.50,  0.00,  0.00,  0.00, 87.50,  0.00,  0.00,  0.00,2.46, 2.65,
0.01000,0.100,20, 1024,10, 87.50,  0.00,  0.00,  0.00, 87.50,  0.00,  0.00,  0.00,4.08, 4.36,
0.01000,0.100,20, 1024,15, 87.50,  0.00,  0.00,  0.00, 87.50,  0.00,  0.00,  0.00,1.72, 1.83,
0.01000,0.100,20, 1024,20, 87.48,  0.09, 25.00,  0.19, 87.48,  0.14, 35.29,  0.28,4.11, 4.38,
